station_1,station_2,distance_meters
Grand Av,Elmhurst Av,727.6299547343565
Elmhurst Av,Jackson Hts–Roosevelt Av,3913.48301938195
Jackson Hts–Roosevelt Av,65 St,12293.27406966789
65 St,Northern Blvd,729.9551588485164
Northern Blvd,46 St,725.2312774509433
46 St,Steinway St,627.2910841078344
Steinway St,36 St,13292.589065607468
36 St,Queens Plaza,789.9928654859364
Queens Plaza,Lexington Av/59 St,2994.707858256883
34 St–Herald Sq,28 St,543.3766824123721
23 St,14 St–Union Sq,620.9303190411883
14 St–Union Sq,8 St–NYU,642.4468898294632
8 St–NYU,Prince St,792.0500226415851
Prince St,Canal St,741.4123667442869
Canal St,City Hall,916.2000521519053
City Hall,Cortlandt St,916.2000521519053
Cortlandt St,Rector St,1777.3324859222446
Rector St,Whitehall St–South Ferry,6003.330094710937
Whitehall St–South Ferry,Court St,8478.5492799753
Court St,Jay St–MetroTech,2746.4228701464913
Jay St–MetroTech,DeKalb Av,5947.756606171007
Atlantic Av–Barclays Ctr,Union St,907.7978276908949
Union St,4 Av–9 St,9763.928518448285
4 Av–9 St,Prospect Av,8567.604844550133
Prospect Av,25 St,710.3883234707657
25 St,36 St,743.8473181363772
36 St,45 St,13353.888670247157
45 St,53 St,547.6498820897444
53 St,59 St,18824.21614756875
59 St,Bay Ridge Av,848.8526364832728
Bay Ridge Av,77 St,16320.17355679137
77 St,86 St,18151.07765948278
86 St,Bay Ridge–95 St,706.2466267947674
Times Sq–42 St,Grand Central–42 St,1036.9033412293995
Grand Central–42 St,Franklin Av,8007.236189640369
Franklin Av,Park Place,3540.694065603615
Park Place,Botanic Garden,14051.456736392396
Botanic Garden,Prospect Park,13692.618412175556
Prospect Park,Broad Channel,13692.618412175556
Beach 105 St,Rockaway Park–Beach 116 St,725.3853239810969
30 Av,Broadway,7171.959121494927
Broadway,36 Av,654.1399240987876
121 St,104 St,2233.737254951995
Woodhaven Blvd,75 St–Elderts Ln,1342.345906915653
75 St–Elderts Ln,Crescent St,1063.6887638422172
Norwood Av,Van Siclen Av,1942.784315422084
Chauncey St,Gates Av,1246.9850266548658
Gates Av,Myrtle Av,1408.160561383294
Myrtle Av,Marcy Av,2238.234657248609
